obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
3341;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;20;;NUEagr;%;25;;;;47,5;;;;4;35;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3342;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;20;;NUEagr;%;23,8;;;;58,8;;;;4;35;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3343;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;40;;NUEagr;%;20;;;;45;;;;4;35;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3344;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;40;;NUEagr;%;17,5;;;;52,5;;;;4;35;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3345;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;5;;;;15;;;;4;12,5;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3346;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;1,3;;;;13,8;;;;4;12,5;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3347;31;Fofana et al ;;Togo;1,63;6,47;;;20;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;75;;;;27,5;;;;4;12,5;;;;4;20;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3348;31;Fofana et al ;;Togo;1,63;6,47;;;40;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;50;;;;32,5;;;;4;12,5;;;;4;40;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3349;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;20;;NUEagr;%;45;;;;35;;;;4;12,5;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3350;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;20;;NUEagr;%;20;;;;32,5;;;;4;12,5;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3351;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;40;;NUEagr;%;55;;;;40;;;;4;12,5;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3352;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;40;;NUEagr;%;28,8;;;;41,3;;;;4;12,5;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3353;31;Fofana et al ;;Togo;0,95;6,43;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;15;;;;48,8;;;;4;41,3;;;;4;50;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3354;31;Fofana et al ;;Togo;0,95;6,43;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;13,8;;;;55;;;;4;41,3;;;;4;100;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3355;31;Fofana et al ;;Togo;0,95;6,43;;;20;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;6,3;;;;42,5;;;;4;41,3;;;;4;20;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3356;31;Fofana et al ;;Togo;0,95;6,43;;;40;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;9,4;;;;45;;;;4;41,3;;;;4;40;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3357;31;Fofana et al ;;Togo;0,95;6,43;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;20;;NUEagr;%;15;;;;48,8;;;;4;41,3;;;;4;50;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3358;31;Fofana et al ;;Togo;0,95;6,43;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;20;;NUEagr;%;10;;;;51,3;;;;4;41,3;;;;4;100;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3359;31;Fofana et al ;;Togo;0,95;6,43;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;40;;NUEagr;%;-5;;;;38,8;;;;4;41,3;;;;4;50;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3360;31;Fofana et al ;;Togo;0,95;6,43;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;40;;NUEagr;%;12,5;;;;53,8;;;;4;41,3;;;;4;100;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3361;31;Fofana et al ;;Togo;0,95;6,43;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;5;;;;32,5;;;;4;30;;;;4;50;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3362;31;Fofana et al ;;Togo;0,95;6,43;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;5;;;;35;;;;4;30;;;;4;100;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3363;31;Fofana et al ;;Togo;0,95;6,43;;;20;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;50;;;;40;;;;4;30;;;;4;20;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3364;31;Fofana et al ;;Togo;0,95;6,43;;;40;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;34,4;;;;43,8;;;;4;30;;;;4;40;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3365;31;Fofana et al ;;Togo;0,95;6,43;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;20;;NUEagr;%;25;;;;42,5;;;;4;30;;;;4;50;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3366;31;Fofana et al ;;Togo;0,95;6,43;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;20;;NUEagr;%;7,5;;;;37,5;;;;4;30;;;;4;100;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3367;31;Fofana et al ;;Togo;0,95;6,43;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;20;;NUEagr;%;32,5;;;;46,3;;;;4;30;;;;4;50;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3368;31;Fofana et al ;;Togo;0,95;6,43;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;40;;NUEagr;%;16,3;;;;46,3;;;;4;30;;;;4;100;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3369;31;Fofana et al ;;Togo;0,95;6,43;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;12,5;;;;46,3;;;;4;40;;;;4;50;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3370;31;Fofana et al ;;Togo;0,95;6,43;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;7,5;;;;47,5;;;;4;40;;;;4;100;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3371;31;Fofana et al ;;Togo;0,95;6,43;;;20;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;50;;;;50;;;;4;40;;;;4;20;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3372;31;Fofana et al ;;Togo;0,95;6,43;;;40;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;;;NUEagr;%;59,4;;;;63,8;;;;4;40;;;;4;40;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3373;31;Fofana et al ;;Togo;0,95;6,43;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;20;;NUEagr;%;57,5;;;;68,8;;;;4;40;;;;4;50;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
3374;31;Fofana et al ;;Togo;0,95;6,43;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,2;;;;0,7;20;;NUEagr;%;27,5;;;;67,5;;;;4;40;;;;4;100;;207;1,9;6,1;26,8;54,27;20,27;25,52;;;1265,23;27,25;1104,19;53,6
