obs_no;no,;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
3491;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;47,2;;;;135,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3492;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;126;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;29,1;;;;101,0;;;;1;;;;;;126;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3493;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;126;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;34,8;;;;95,0;;;;1;;;;;;126;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3494;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;126;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;51,3;;;;113,0;;;;1;;;;;;126;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3495;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;126;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;53,5;;;;123,0;;;;1;;;;;;126;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3496;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;84;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;17,1;;;;79,0;;;;1;;;;;;84;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3497;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;84;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;37,8;;;;83,0;;;;1;;;;;;84;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3498;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;84;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;63,2;;;;101,0;;;;1;;;;;;84;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3499;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;84;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;1,3;;;;;;;;NUEagr;%;68,8;;;;113,0;;;;1;;;;;;84;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3500;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;49,6;;;;159,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3501;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;67,0;;;;169,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3502;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;34,2;;;;151,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3503;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;20,4;;;;136,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3504;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;44,5;;;;167,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3505;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;57,3;;;;176,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3506;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;37,3;;;;168,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3507;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;28,6;;;;157,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3508;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;54,4;;;;165,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3509;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;66,0;;;;168,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3510;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;75,8;;;;207,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3511;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;37,0;;;;159,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3512;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;47,2;;;;171,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3513;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;64,8;;;;188,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3514;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;38,4;;;;170,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3515;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;168;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;51,4;;;;195,0;;;;1;;;;;;168;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3516;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;45,0;;;;152,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3517;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;63,7;;;;165,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3518;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;43,7;;;;164,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3519;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;134,4;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;50,5;;;;177,0;;;;1;;;;;;134,4;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3520;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;100,8;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;56,6;;;;149,0;;;;1;;;;;;100,8;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3521;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;100,8;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;67,1;;;;147,0;;;;1;;;;;;100,8;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3522;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;100,8;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;44,3;;;;150,0;;;;1;;;;;;100,8;;-95,50;44,40;298,83;3,16;7,25;29,97;32,62;38,82;28,57;2486,78;7,64;62,54;59,93
3523;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-95,50;44,40;2014;;100,8;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;23,8;;;;133,0;;;;1;;;;;;100,8;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3524;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;25,6;;;;126,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3525;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;56,7;;;;155,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3526;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;32,7;;;;149,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3527;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;26,8;;;;145,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3528;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;100,8;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;60,7;;;;153,0;;;;1;;;;;;100,8;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3529;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;100,8;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;54,4;;;;134,0;;;;1;;;;;;100,8;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3530;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;100,8;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;48,7;;;;154,0;;;;1;;;;;;100,8;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3531;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;100,8;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;21,1;;;;130,0;;;;1;;;;;;100,8;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3532;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;67,2;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;69,0;;;;138,0;;;;1;;;;;;67,2;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3533;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;67,2;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;98,5;;;;145,0;;;;1;;;;;;67,2;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3534;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;67,2;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;29,2;;;;125,0;;;;1;;;;;;67,2;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3535;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;67,2;;;;;;;;;;;;Urea;3;at planting;V6;at silking;maize;;;;;;;;;;;2,3;;;;;;;;NUEagr;%;54,8;;;;146,0;;;;1;;;;;;67,2;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3536;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;47,2;;;;101,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3537;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;14,4;;;;67,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3538;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;23,4;;;;83,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3539;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;46,3;;;;98,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3540;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;168;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;25,4;;;;81,0;;;;1;;;;;;168;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3541;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;168;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;32,1;;;;101,0;;;;1;;;;;;168;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3542;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;168;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;36,1;;;;113,0;;;;1;;;;;;168;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3543;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;168;;;;;;;;;;;;SuperU;;;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;38,7;;;;101,0;;;;1;;;;;;168;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3544;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;52,4;;;;108,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3545;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;56,5;;;;123,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3546;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;56,3;;;;127,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3547;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;51,5;;;;105,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3548;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;168;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;61,3;;;;141,0;;;;1;;;;;;168;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3549;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;168;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;35,5;;;;107,0;;;;1;;;;;;168;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3550;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;168;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;41,9;;;;122,0;;;;1;;;;;;168;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3551;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;168;;;;;;;;;;;;Urea;;at planting;;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;48,4;;;;117,0;;;;1;;;;;;168;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3552;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;49,7;;;;105,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3553;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;41,8;;;;103,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3554;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;36,6;;;;101,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
3555;32;Davies et al.;Data Set for Timing and rate of nitrogen fertilization influence maize yield and nitrogen use efficiency;UK ;-93,87;44,12;2014;;134,4;;;;;;;;;;;;Urea;2;at planting;V6;;maize;;;;;;;;;;;3,6;;;;;;;;NUEagr;%;49,6;;;;102,0;;;;1;;;;;;134,4;;-93,87;44,12;229,83;2,88;6,40;29,78;15,53;50,02;34,48;2520,69;7,92;68,77;59,57
