obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl
4643;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;31,8;;;1;;;;;3;;;;;;240
4644;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;31,8;;;1;;;;;3;;;;;;240
4645;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;34,3;;;0,3;;;;;3;;;;;;270
4646;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;34,3;;;0,3;;;;;3;;;;;;270
4647;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;34,3;;;0,3;;;;;3;;;;;;270
4648;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;34,3;;;0,3;;;;;3;;;;;;270
4649;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;27,4;;;1,8;;;;;3;;;;;;300
4650;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;27,4;;;1,8;;;;;3;;;;;;300
4651;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;27,4;;;1,8;;;;;3;;;;;;300
4652;34;Meng Lin_2009_Effects_Chinese;Database of Luncheng;;120,9;31,59;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,8;7,5;25;;;15,2;;;NUEagr;%;27,4;;;1,8;;;;;3;;;;;;300
4653;34;Zhang Hui_2011_Gaseous_Chinese;Database of Luncheng;;106,27;38,12;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;1,4;8,5;28,2;;;12;;;NUEagr;%;24,2;;;;;;;;3;;;;;;300
4654;34;Zhang Hui_2011_Gaseous_Chinese;Database of Luncheng;;106,27;38,12;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;1,4;8,5;28,2;;;12;;;NUEagr;%;33,2;;;;;;;;3;;;;;;240
